age,prtype,english,overseaexp,ausexp,eduqual,audeduqual,desregarea,speceduqual,acl,partqual,profyear,PR
24,0,2,5,2,1,1,1,0,0,2,0,1
41,1,0,4,3,3,1,1,0,1,3,0,1
22,1,0,5,0,1,0,0,0,0,3,0,0
42,2,1,11,14,0,1,0,0,0,0,1,0
42,0,2,3,10,2,0,0,0,1,3,0,1
38,2,1,1,3,2,1,1,0,0,1,0,0
42,0,2,2,2,1,1,0,0,1,0,1,1
26,1,2,6,1,1,0,0,0,1,3,1,1
19,0,2,1,1,1,0,0,0,1,0,1,0
21,1,1,3,1,0,1,1,0,0,0,0,0
23,2,2,2,2,1,0,0,0,0,1,1,1
28,0,2,8,3,3,0,0,1,0,2,1,1
41,1,0,16,7,2,1,1,1,1,3,1,1
29,2,1,2,9,3,0,0,1,1,2,0,1
31,1,2,0,14,3,0,0,1,0,1,0,1
24,1,0,2,3,2,0,0,1,1,2,0,1
28,2,1,6,5,3,1,0,0,1,0,0,1
25,1,0,6,2,0,0,0,0,1,0,1,0
36,2,0,2,6,0,0,0,0,1,0,0,0
31,0,2,5,3,1,0,0,0,0,1,0,0
36,1,1,8,4,2,0,0,1,0,0,0,1
22,1,2,1,2,0,1,0,0,0,3,1,0
20,1,1,3,0,1,0,0,0,1,0,1,1
25,1,1,2,2,3,1,0,1,0,3,0,1
26,1,1,3,4,3,0,0,1,1,0,0,0
44,2,0,6,1,0,0,0,0,1,2,1,0
40,2,2,2,19,0,0,0,0,0,1,1,0
33,0,1,3,9,1,1,1,0,1,3,1,1
37,0,2,19,1,3,1,1,1,0,0,1,1
24,0,2,3,3,0,1,0,0,1,3,1,1
23,2,1,0,4,0,1,1,0,1,2,1,1
18,1,0,0,1,0,1,0,0,0,0,1,0
28,1,0,0,11,2,1,1,1,0,0,0,1
34,0,2,14,3,0,0,0,0,1,0,0,0
40,0,2,5,12,1,0,0,0,0,2,0,1
36,2,1,1,1,0,1,0,0,1,0,1,1
39,0,0,9,13,2,1,1,0,1,1,1,1
19,0,1,2,0,1,0,0,0,1,0,0,0
37,1,2,20,0,3,1,0,0,0,2,1,0
36,0,0,13,1,1,1,1,0,1,0,1,0
21,0,2,0,4,1,1,0,0,0,2,1,1
23,1,0,5,1,1,0,0,0,0,2,1,1
42,1,1,21,2,3,0,0,1,1,2,0,1
36,1,0,14,5,1,0,0,0,1,1,1,1
19,2,1,0,1,0,0,0,0,1,2,0,0
27,1,0,5,2,2,1,0,0,1,0,0,0
18,2,2,1,0,0,0,0,0,0,0,0,0
36,2,2,15,4,0,0,0,0,1,0,1,0
26,2,0,6,2,3,1,0,0,0,3,0,1
35,1,2,1,14,0,1,1,0,1,1,0,1
23,0,0,6,0,0,1,0,0,1,3,1,0
41,0,2,5,12,0,0,0,0,0,2,0,1
42,0,1,3,18,3,0,0,1,0,1,0,1
35,1,1,6,8,1,1,0,0,0,3,1,0
38,0,0,12,2,2,1,0,0,1,0,0,1
43,2,2,22,4,2,0,0,1,0,3,1,1
38,1,1,0,10,3,1,1,1,1,1,1,1
23,1,1,2,1,2,0,0,0,0,2,1,1
34,1,2,4,10,2,1,0,1,1,0,1,1
26,2,0,9,0,3,1,1,1,1,3,1,1
35,0,0,11,5,3,1,1,1,1,1,0,1
27,2,0,0,8,1,1,0,0,1,2,1,1
25,1,1,3,3,3,0,0,0,0,3,0,0
27,2,2,2,3,3,1,0,0,0,3,1,1
39,2,0,3,5,2,0,0,1,1,2,0,1
26,0,2,7,1,2,1,0,0,0,0,1,1
36,2,2,14,2,1,0,0,0,0,1,0,1
27,0,1,5,5,2,0,0,1,1,3,0,1
23,0,1,1,4,0,1,1,0,0,2,1,1
36,2,2,16,1,3,0,0,1,1,3,0,1
42,0,1,18,3,2,0,0,0,0,0,1,1
18,1,0,1,0,1,1,1,0,1,1,0,0
28,0,1,2,8,2,0,0,1,0,3,0,0
33,0,2,15,1,3,0,0,0,0,2,0,1
43,2,2,17,6,2,1,0,0,0,2,1,1
27,1,1,10,0,0,0,0,0,1,0,1,1
34,2,2,17,0,0,0,0,0,1,3,1,0
26,1,2,8,1,0,1,0,0,0,3,1,1
42,0,0,4,14,1,1,0,0,0,0,1,0
27,1,0,3,5,2,0,0,1,1,1,1,1
40,0,1,11,9,0,1,1,0,1,3,0,1
27,0,1,7,2,2,0,0,1,0,0,0,1
27,1,2,6,1,0,0,0,0,1,2,0,1
44,1,0,14,8,0,1,1,0,1,1,1,0
36,2,1,7,7,3,0,0,1,1,0,1,1
21,0,0,2,2,2,1,1,1,0,0,0,1
44,2,0,24,1,2,0,0,1,1,3,1,0
19,0,1,1,1,0,0,0,0,1,0,1,0
23,1,0,2,2,0,0,0,0,0,3,0,0
37,1,2,13,4,0,1,0,0,1,1,0,1
40,1,0,17,4,0,1,1,0,0,3,0,1
21,1,2,2,2,2,1,0,1,0,1,0,1
38,0,2,6,10,1,0,0,0,0,0,0,0
32,1,0,2,5,1,0,0,0,1,1,1,0
35,0,1,4,2,3,0,0,1,0,1,0,0
28,0,2,2,8,3,1,0,1,0,0,1,1
43,1,2,16,5,2,1,1,1,1,2,1,1
40,0,0,1,19,3,1,1,0,0,3,0,1
22,2,0,5,0,1,0,0,0,1,2,0,1
25,0,2,1,6,3,0,0,1,1,3,0,1
33,1,2,7,6,0,0,0,0,1,1,1,1
27,0,2,4,1,3,1,0,1,0,2,0,1
22,2,2,3,1,0,1,1,0,0,1,1,0
29,2,1,11,1,3,1,1,0,1,3,0,1
25,2,2,4,1,3,1,0,0,0,2,0,1
23,1,2,5,1,2,0,0,0,1,3,1,1
31,2,0,10,1,3,1,1,0,0,0,0,1
20,0,2,2,1,0,0,0,0,0,2,0,0
42,0,0,25,0,3,0,0,1,0,2,1,1
34,0,2,14,1,3,1,0,0,1,1,1,1
41,1,0,0,20,3,1,0,0,0,1,0,0
22,1,0,3,2,0,1,1,0,0,1,1,0
34,0,2,12,2,3,1,1,0,0,3,0,0
23,1,2,4,2,2,0,0,0,1,1,1,1
26,2,2,1,2,3,0,0,0,1,1,1,1
44,0,0,11,6,1,0,0,0,1,2,0,1
33,1,0,15,1,1,0,0,0,1,3,0,1
31,1,1,0,12,2,1,0,0,0,3,1,1
23,0,2,0,5,0,0,0,0,1,3,0,0
19,2,1,2,0,1,0,0,0,1,1,0,1
33,2,2,6,6,2,0,0,1,0,3,0,1
33,1,0,7,6,0,0,0,0,0,0,0,0
18,1,1,1,0,0,0,0,0,0,1,1,0
25,1,0,6,2,1,0,0,0,1,1,0,1
28,0,0,4,1,1,1,0,0,1,3,0,1
39,2,2,3,14,0,0,0,0,0,1,1,0
19,2,1,0,1,0,1,0,0,1,1,0,0
24,2,0,1,6,0,1,0,0,0,0,1,1
31,0,2,14,0,2,0,0,0,0,1,1,1
18,0,2,1,0,0,1,1,0,0,3,1,1
20,2,1,0,2,1,1,0,0,1,0,0,0
30,1,2,4,5,3,1,0,1,0,1,1,1
35,1,1,8,4,2,0,0,1,0,3,1,1
27,2,2,7,2,1,1,0,0,0,0,1,0
22,2,0,5,0,2,0,0,1,0,0,0,0
22,0,2,2,3,1,0,0,0,0,1,0,0
21,1,0,0,3,2,1,1,1,0,0,1,1
26,2,1,4,5,0,0,0,0,1,0,1,1
22,0,0,5,0,0,0,0,0,0,3,1,0
